Fecha,Mes,Punto de Muestreo,Analito,Resultado numérico,Cumplimiento,,AÑO,Analito (Limpio),,,Muestras Totales,72
24/02/2026,febrero,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",3,Dentro de límite,3,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Sector envasado granel,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Sector envasado retail ,"Aerobios mesófilos totales
(ufc/placa)",4,Dentro de límite,4,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Sector producción grageados,"Aerobios mesófilos totales
(ufc/placa)",2,Dentro de límite,2,2026,Aerobios mesófilos totales (ufc/placa),,,,
24/02/2026,febrero,Sector preparación de insumos ,"Hongos y Levaduras
(ufc/placa)",17,Dentro de límite,17,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Sector producción granolas (frente las pailas),"Hongos y Levaduras
(ufc/placa)",19,Dentro de límite,19,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Enfriador granolas,"Hongos y Levaduras
(ufc/placa)",2,Dentro de límite,2,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Sector envasado granel,"Hongos y Levaduras
(ufc/placa)",17,Dentro de límite,17,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Sector envasado retail ,"Hongos y Levaduras
(ufc/placa)",34,Dentro de límite,34,2026,Hongos y Levaduras (ufc/placa),,,,
24/02/2026,febrero,Sector producción grageados,"Hongos y Levaduras
(ufc/placa)",11,Dentro de límite,11,2026,Hongos y Levaduras (ufc/placa),,,,
5/3/2026,marzo,Sector preparación de insumos ,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Sector producción granolas (frente las pailas),"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
5/3/2026,marzo,Enfriador granolas,"Aerobios mesófilos totales
(ufc/placa)",0,Dentro de límite,MNPC,2026,Aerobios mesófilos totales (ufc/placa),,,,
